Network Internet,Network Link Speed,Network RSSI,Network Type,Signal Strength
INT1,LSPD10_63_up,RSSI05_n55_n48,Wifi,SIGS4
INT1,LSPD10_63_up,RSSI05_n55_n48,Wifi,SIGS4
INT1,LSPD10_63_up,RSSI05_n55_n48,Wifi,SIGS4
INT1,LSPD10_63_up,RSSI05_n55_n48,Wifi,SIGS4
INT1,LSPD10_63_up,RSSI05_n55_n48,Wifi,SIGS4
INT1,LSPD10_63_up,RSSI05_n55_n48,Wifi,SIGS4
INT1,LSPD10_63_up,RSSI05_n55_n48,Wifi,SIGS4
INT1,LSPD10_63_up,RSSI05_n55_n48,Wifi,SIGS4
INT1,LSPD10_63_up,RSSI05_n55_n48,Wifi,SIGS4
INT1,LSPD10_63_up,RSSI05_n55_n48,Wifi,SIGS4
INT1,LSPD10_63_up,RSSI05_n55_n48,Wifi,SIGS4
INT1,LSPD10_63_up,RSSI05_n55_n48,Wifi,SIGS4
INT1,LSPD10_63_up,RSSI05_n55_n48,Wifi,SIGS4
INT1,LSPD10_63_up,RSSI05_n55_n48,Wifi,SIGS4
INT1,LSPD10_63_up,RSSI05_n55_n48,Wifi,SIGS4
INT1,LSPD10_63_up,RSSI06_n48_n39,Wifi,SIGS4
INT1,LSPD10_63_up,RSSI05_n55_n48,Wifi,SIGS4
INT1,LSPD10_63_up,RSSI05_n55_n48,Wifi,SIGS4
INT1,LSPD10_63_up,RSSI05_n55_n48,Wifi,SIGS4
INT1,LSPD10_63_up,RSSI05_n55_n48,Wifi,SIGS4
INT1,LSPD10_63_up,RSSI07_n39_n31,Wifi,SIGS4
INT1,LSPD10_63_up,RSSI06_n48_n39,Wifi,SIGS4
INT1,LSPD10_63_up,RSSI06_n48_n39,Wifi,SIGS4
INT1,LSPD10_63_up,RSSI08_n31_n19,Wifi,SIGS4
INT1,LSPD10_63_up,RSSI08_n31_n19,Wifi,SIGS4
INT1,LSPD10_63_up,RSSI08_n31_n19,Wifi,SIGS4
INT1,LSPD10_63_up,RSSI08_n31_n19,Wifi,SIGS4
INT1,LSPD10_63_up,RSSI07_n39_n31,Wifi,SIGS4
INT1,LSPD09_55_63,RSSI07_n39_n31,Wifi,SIGS4
INT1,LSPD09_55_63,RSSI07_n39_n31,Wifi,SIGS4
INT1,LSPD09_55_63,RSSI07_n39_n31,Wifi,SIGS4
INT1,LSPD09_55_63,RSSI07_n39_n31,Wifi,SIGS4
INT1,LSPD09_55_63,RSSI07_n39_n31,Wifi,SIGS4
INT1,LSPD09_55_63,RSSI07_n39_n31,Wifi,SIGS4
INT1,LSPD09_55_63,RSSI07_n39_n31,Wifi,SIGS4
INT1,LSPD09_55_63,RSSI07_n39_n31,Wifi,SIGS4
INT1,LSPD10_63_up,RSSI06_n48_n39,Wifi,SIGS4
INT1,LSPD10_63_up,RSSI06_n48_n39,Wifi,SIGS4
INT1,LSPD10_63_up,RSSI06_n48_n39,Wifi,SIGS4
INT1,LSPD10_63_up,RSSI06_n48_n39,Wifi,SIGS4
INT1,LSPD10_63_up,RSSI06_n48_n39,Wifi,SIGS4
INT1,LSPD10_63_up,RSSI06_n48_n39,Wifi,SIGS4
INT1,LSPD10_63_up,RSSI06_n48_n39,Wifi,SIGS4
INT1,LSPD10_63_up,RSSI07_n39_n31,Wifi,SIGS4
INT1,LSPD10_63_up,RSSI07_n39_n31,Wifi,SIGS4
INT1,LSPD10_63_up,RSSI07_n39_n31,Wifi,SIGS4
INT1,LSPD10_63_up,RSSI07_n39_n31,Wifi,SIGS4
INT1,LSPD10_63_up,RSSI07_n39_n31,Wifi,SIGS4
INT1,LSPD01_below_2,RSSI10_n5_up,Mobile,SIGS0
INT1,LSPD01_below_2,RSSI10_n5_up,Mobile,SIGS0
INT1,LSPD01_below_2,RSSI10_n5_up,Mobile,SIGS0
INT1,LSPD10_63_up,RSSI07_n39_n31,Wifi,SIGS4
INT1,LSPD10_63_up,RSSI07_n39_n31,Wifi,SIGS4
INT1,LSPD10_63_up,RSSI07_n39_n31,Wifi,SIGS4
INT1,LSPD10_63_up,RSSI07_n39_n31,Wifi,SIGS4
INT1,LSPD10_63_up,RSSI07_n39_n31,Wifi,SIGS4
INT1,LSPD10_63_up,RSSI07_n39_n31,Wifi,SIGS4
INT1,LSPD10_63_up,RSSI07_n39_n31,Wifi,SIGS4
INT1,LSPD10_63_up,RSSI07_n39_n31,Wifi,SIGS4
INT1,LSPD10_63_up,RSSI07_n39_n31,Wifi,SIGS4
INT1,LSPD10_63_up,RSSI07_n39_n31,Wifi,SIGS4
INT1,LSPD10_63_up,RSSI07_n39_n31,Wifi,SIGS4
INT1,LSPD10_63_up,RSSI07_n39_n31,Wifi,SIGS4
INT1,LSPD10_63_up,RSSI07_n39_n31,Wifi,SIGS4
INT1,LSPD10_63_up,RSSI07_n39_n31,Wifi,SIGS4
INT1,LSPD10_63_up,RSSI07_n39_n31,Wifi,SIGS4
INT1,LSPD10_63_up,RSSI07_n39_n31,Wifi,SIGS4
INT1,LSPD10_63_up,RSSI07_n39_n31,Wifi,SIGS4
INT1,LSPD10_63_up,RSSI07_n39_n31,Wifi,SIGS4
INT1,LSPD10_63_up,RSSI07_n39_n31,Wifi,SIGS4
INT1,LSPD10_63_up,RSSI07_n39_n31,Wifi,SIGS4
INT1,LSPD10_63_up,RSSI07_n39_n31,Wifi,SIGS4
INT1,LSPD10_63_up,RSSI07_n39_n31,Wifi,SIGS4
INT1,LSPD10_63_up,RSSI07_n39_n31,Wifi,SIGS4
INT1,LSPD10_63_up,RSSI07_n39_n31,Wifi,SIGS4
INT1,LSPD10_63_up,RSSI07_n39_n31,Wifi,SIGS4
INT1,LSPD10_63_up,RSSI07_n39_n31,Wifi,SIGS4
INT1,LSPD10_63_up,RSSI07_n39_n31,Wifi,SIGS4
INT1,LSPD10_63_up,RSSI07_n39_n31,Wifi,SIGS4
INT1,LSPD10_63_up,RSSI07_n39_n31,Wifi,SIGS4
INT1,LSPD10_63_up,RSSI07_n39_n31,Wifi,SIGS4
INT1,LSPD10_63_up,RSSI07_n39_n31,Wifi,SIGS4
INT1,LSPD10_63_up,RSSI07_n39_n31,Wifi,SIGS4
INT1,LSPD10_63_up,RSSI07_n39_n31,Wifi,SIGS4
INT1,LSPD10_63_up,RSSI07_n39_n31,Wifi,SIGS4
INT1,LSPD10_63_up,RSSI07_n39_n31,Wifi,SIGS4
INT1,LSPD10_63_up,RSSI07_n39_n31,Wifi,SIGS4
INT1,LSPD10_63_up,RSSI07_n39_n31,Wifi,SIGS4
INT1,LSPD10_63_up,RSSI07_n39_n31,Wifi,SIGS4
INT1,LSPD10_63_up,RSSI07_n39_n31,Wifi,SIGS4
INT1,LSPD10_63_up,RSSI07_n39_n31,Wifi,SIGS4
INT1,LSPD10_63_up,RSSI07_n39_n31,Wifi,SIGS4
INT1,LSPD10_63_up,RSSI07_n39_n31,Wifi,SIGS4
INT1,LSPD10_63_up,RSSI07_n39_n31,Wifi,SIGS4
INT1,LSPD10_63_up,RSSI07_n39_n31,Wifi,SIGS4
INT1,LSPD10_63_up,RSSI07_n39_n31,Wifi,SIGS4
INT1,LSPD10_63_up,RSSI07_n39_n31,Wifi,SIGS4
INT1,LSPD10_63_up,RSSI07_n39_n31,Wifi,SIGS4
INT1,LSPD10_63_up,RSSI07_n39_n31,Wifi,SIGS4
INT1,LSPD10_63_up,RSSI07_n39_n31,Wifi,SIGS4
INT1,LSPD10_63_up,RSSI07_n39_n31,Wifi,SIGS4
INT1,LSPD10_63_up,RSSI07_n39_n31,Wifi,SIGS4
INT1,LSPD10_63_up,RSSI07_n39_n31,Wifi,SIGS4
INT1,LSPD10_63_up,RSSI07_n39_n31,Wifi,SIGS4
INT1,LSPD10_63_up,RSSI07_n39_n31,Wifi,SIGS4
INT1,LSPD10_63_up,RSSI07_n39_n31,Wifi,SIGS4
INT1,LSPD10_63_up,RSSI07_n39_n31,Wifi,SIGS4
INT1,LSPD10_63_up,RSSI07_n39_n31,Wifi,SIGS4
INT1,LSPD10_63_up,RSSI07_n39_n31,Wifi,SIGS4
INT1,LSPD10_63_up,RSSI07_n39_n31,Wifi,SIGS4
INT1,LSPD10_63_up,RSSI07_n39_n31,Wifi,SIGS4
INT1,LSPD10_63_up,RSSI07_n39_n31,Wifi,SIGS4
INT1,LSPD10_63_up,RSSI07_n39_n31,Wifi,SIGS4
INT1,LSPD10_63_up,RSSI07_n39_n31,Wifi,SIGS4
INT1,LSPD10_63_up,RSSI07_n39_n31,Wifi,SIGS4
INT1,LSPD01_below_2,RSSI10_n5_up,Mobile,SIGS1
INT1,LSPD01_below_2,RSSI10_n5_up,Mobile,SIGS1
INT1,LSPD01_below_2,RSSI10_n5_up,Mobile,SIGS1
INT1,LSPD01_below_2,RSSI10_n5_up,Mobile,SIGS1
INT1,LSPD01_below_2,RSSI10_n5_up,Mobile,SIGS0
INT1,LSPD10_63_up,RSSI04_n60_n55,Wifi,SIGS3
INT1,LSPD05_30_37,RSSI01_below_n66,Wifi,SIGS3
INT1,LSPD05_30_37,RSSI01_below_n66,Wifi,SIGS3
INT1,LSPD05_30_37,RSSI01_below_n66,Wifi,SIGS3
INT1,LSPD04_18_30,RSSI03_n63_n60,Wifi,SIGS4
INT1,LSPD04_18_30,RSSI03_n63_n60,Wifi,SIGS4
INT1,LSPD04_18_30,RSSI03_n63_n60,Wifi,SIGS4
INT1,LSPD04_18_30,RSSI03_n63_n60,Wifi,SIGS4
INT0,LSPD01_below_2,RSSI10_n5_up,None,SIGS2
INT1,LSPD03_8_18,RSSI03_n63_n60,Wifi,SIGS4
INT0,LSPD01_below_2,RSSI10_n5_up,None,SIGS1
INT0,LSPD01_below_2,RSSI10_n5_up,None,SIGS1
INT0,LSPD01_below_2,RSSI10_n5_up,None,SIGS1
INT0,LSPD01_below_2,RSSI10_n5_up,None,SIGS1
INT0,LSPD01_below_2,RSSI10_n5_up,None,SIGS1
INT0,LSPD01_below_2,RSSI10_n5_up,None,SIGS1
INT0,LSPD01_below_2,RSSI10_n5_up,None,SIGS1
INT0,LSPD01_below_2,RSSI10_n5_up,None,SIGS1
INT0,LSPD01_below_2,RSSI10_n5_up,None,SIGS1
INT0,LSPD01_below_2,RSSI10_n5_up,None,SIGS1
INT0,LSPD01_below_2,RSSI10_n5_up,None,SIGS1
INT0,LSPD01_below_2,RSSI10_n5_up,None,SIGS1
INT1,LSPD05_30_37,RSSI03_n63_n60,Wifi,SIGS4
INT1,LSPD05_30_37,RSSI03_n63_n60,Wifi,SIGS4
INT1,LSPD07_43_50,RSSI01_below_n66,Wifi,SIGS3
INT1,LSPD07_43_50,RSSI01_below_n66,Wifi,SIGS3
INT1,LSPD07_43_50,RSSI01_below_n66,Wifi,SIGS3
INT1,LSPD07_43_50,RSSI01_below_n66,Wifi,SIGS3
INT1,LSPD07_43_50,RSSI01_below_n66,Wifi,SIGS3
INT1,LSPD07_43_50,RSSI01_below_n66,Wifi,SIGS3
INT1,LSPD07_43_50,RSSI01_below_n66,Wifi,SIGS3
INT1,LSPD07_43_50,RSSI01_below_n66,Wifi,SIGS3
INT1,LSPD07_43_50,RSSI01_below_n66,Wifi,SIGS3
INT1,LSPD07_43_50,RSSI01_below_n66,Wifi,SIGS3
INT1,LSPD07_43_50,RSSI01_below_n66,Wifi,SIGS3
INT1,LSPD07_43_50,RSSI01_below_n66,Wifi,SIGS3
INT1,LSPD07_43_50,RSSI01_below_n66,Wifi,SIGS3
INT1,LSPD07_43_50,RSSI01_below_n66,Wifi,SIGS3
INT1,LSPD07_43_50,RSSI01_below_n66,Wifi,SIGS3
INT1,LSPD07_43_50,RSSI01_below_n66,Wifi,SIGS3
INT1,LSPD08_50_55,RSSI02_n66_n63,Wifi,SIGS3
INT1,LSPD08_50_55,RSSI02_n66_n63,Wifi,SIGS3
INT1,LSPD08_50_55,RSSI02_n66_n63,Wifi,SIGS3
INT1,LSPD08_50_55,RSSI02_n66_n63,Wifi,SIGS3
INT1,LSPD08_50_55,RSSI02_n66_n63,Wifi,SIGS3
INT1,LSPD08_50_55,RSSI04_n60_n55,Wifi,SIGS4
INT1,LSPD08_50_55,RSSI04_n60_n55,Wifi,SIGS4
INT1,LSPD08_50_55,RSSI04_n60_n55,Wifi,SIGS4
INT1,LSPD01_below_2,RSSI10_n5_up,Mobile,SIGS2
INT1,LSPD01_below_2,RSSI10_n5_up,Mobile,SIGS2
INT1,LSPD01_below_2,RSSI10_n5_up,Mobile,SIGS2
INT1,LSPD09_55_63,RSSI02_n66_n63,Wifi,SIGS3
INT1,LSPD10_63_up,RSSI01_below_n66,Wifi,SIGS3
INT1,LSPD10_63_up,RSSI01_below_n66,Wifi,SIGS3
INT1,LSPD10_63_up,RSSI01_below_n66,Wifi,SIGS3
INT1,LSPD10_63_up,RSSI01_below_n66,Wifi,SIGS3
INT1,LSPD10_63_up,RSSI01_below_n66,Wifi,SIGS3
INT1,LSPD10_63_up,RSSI01_below_n66,Wifi,SIGS3
INT1,LSPD10_63_up,RSSI01_below_n66,Wifi,SIGS3
INT1,LSPD10_63_up,RSSI01_below_n66,Wifi,SIGS3
INT1,LSPD10_63_up,RSSI01_below_n66,Wifi,SIGS3
INT1,LSPD10_63_up,RSSI01_below_n66,Wifi,SIGS3
INT1,LSPD10_63_up,RSSI01_below_n66,Wifi,SIGS3
INT1,LSPD10_63_up,RSSI01_below_n66,Wifi,SIGS3
INT1,LSPD10_63_up,RSSI01_below_n66,Wifi,SIGS3
INT1,LSPD10_63_up,RSSI01_below_n66,Wifi,SIGS3
INT1,LSPD10_63_up,RSSI01_below_n66,Wifi,SIGS3
INT1,LSPD10_63_up,RSSI01_below_n66,Wifi,SIGS3
INT1,LSPD10_63_up,RSSI01_below_n66,Wifi,SIGS3
INT1,LSPD10_63_up,RSSI01_below_n66,Wifi,SIGS3
INT1,LSPD10_63_up,RSSI01_below_n66,Wifi,SIGS3
INT1,LSPD10_63_up,RSSI01_below_n66,Wifi,SIGS3
INT1,LSPD10_63_up,RSSI01_below_n66,Wifi,SIGS3
INT1,LSPD10_63_up,RSSI01_below_n66,Wifi,SIGS3
INT1,LSPD10_63_up,RSSI01_below_n66,Wifi,SIGS3
INT1,LSPD10_63_up,RSSI01_below_n66,Wifi,SIGS3
INT1,LSPD10_63_up,RSSI01_below_n66,Wifi,SIGS3
INT1,LSPD10_63_up,RSSI01_below_n66,Wifi,SIGS3
INT1,LSPD02_2_8,RSSI04_n60_n55,Wifi,SIGS4
INT1,LSPD02_2_8,RSSI04_n60_n55,Wifi,SIGS4
INT1,LSPD02_2_8,RSSI04_n60_n55,Wifi,SIGS4
INT1,LSPD02_2_8,RSSI04_n60_n55,Wifi,SIGS4
INT1,LSPD02_2_8,RSSI04_n60_n55,Wifi,SIGS4
INT1,LSPD02_2_8,RSSI04_n60_n55,Wifi,SIGS4
INT1,LSPD02_2_8,RSSI04_n60_n55,Wifi,SIGS4
INT1,LSPD02_2_8,RSSI04_n60_n55,Wifi,SIGS4
INT1,LSPD02_2_8,RSSI04_n60_n55,Wifi,SIGS4
INT1,LSPD03_8_18,RSSI01_below_n66,Wifi,SIGS3
INT1,LSPD10_63_up,RSSI01_below_n66,Wifi,SIGS4
INT1,LSPD10_63_up,RSSI01_below_n66,Wifi,SIGS4
INT1,LSPD10_63_up,RSSI01_below_n66,Wifi,SIGS4
INT1,LSPD10_63_up,RSSI06_n48_n39,Wifi,SIGS4
INT1,LSPD10_63_up,RSSI06_n48_n39,Wifi,SIGS4
INT1,LSPD10_63_up,RSSI06_n48_n39,Wifi,SIGS4
INT1,LSPD10_63_up,RSSI06_n48_n39,Wifi,SIGS4
INT1,LSPD10_63_up,RSSI06_n48_n39,Wifi,SIGS4
INT1,LSPD10_63_up,RSSI06_n48_n39,Wifi,SIGS4
INT1,LSPD01_below_2,RSSI10_n5_up,Mobile,SIGS2
INT1,LSPD10_63_up,RSSI06_n48_n39,Wifi,SIGS4
INT1,LSPD10_63_up,RSSI06_n48_n39,Wifi,SIGS4
INT1,LSPD10_63_up,RSSI06_n48_n39,Wifi,SIGS4
INT1,LSPD10_63_up,RSSI06_n48_n39,Wifi,SIGS4
INT1,LSPD10_63_up,RSSI06_n48_n39,Wifi,SIGS4
INT1,LSPD10_63_up,RSSI07_n39_n31,Wifi,SIGS4
INT1,LSPD10_63_up,RSSI07_n39_n31,Wifi,SIGS4
INT1,LSPD10_63_up,RSSI07_n39_n31,Wifi,SIGS4
INT1,LSPD10_63_up,RSSI05_n55_n48,Wifi,SIGS4
INT1,LSPD10_63_up,RSSI05_n55_n48,Wifi,SIGS4
INT1,LSPD10_63_up,RSSI05_n55_n48,Wifi,SIGS4
INT1,LSPD01_below_2,RSSI10_n5_up,Mobile,SIGS2
INT1,LSPD01_below_2,RSSI10_n5_up,Mobile,SIGS2
INT1,LSPD01_below_2,RSSI10_n5_up,Mobile,SIGS2
INT1,LSPD01_below_2,RSSI10_n5_up,Mobile,SIGS2
INT1,LSPD10_63_up,RSSI06_n48_n39,Wifi,SIGS4
INT1,LSPD10_63_up,RSSI06_n48_n39,Wifi,SIGS4
INT1,LSPD10_63_up,RSSI06_n48_n39,Wifi,SIGS4
INT0,LSPD01_below_2,RSSI10_n5_up,None,SIGS3
INT1,LSPD10_63_up,RSSI06_n48_n39,Wifi,SIGS4
INT1,LSPD10_63_up,RSSI07_n39_n31,Wifi,SIGS4
INT1,LSPD10_63_up,RSSI07_n39_n31,Wifi,SIGS4
INT1,LSPD10_63_up,RSSI07_n39_n31,Wifi,SIGS4
INT1,LSPD10_63_up,RSSI07_n39_n31,Wifi,SIGS4
INT1,LSPD10_63_up,RSSI07_n39_n31,Wifi,SIGS4
INT1,LSPD10_63_up,RSSI07_n39_n31,Wifi,SIGS4
INT1,LSPD10_63_up,RSSI07_n39_n31,Wifi,SIGS4
INT1,LSPD10_63_up,RSSI07_n39_n31,Wifi,SIGS4
INT1,LSPD10_63_up,RSSI07_n39_n31,Wifi,SIGS4
INT1,LSPD10_63_up,RSSI07_n39_n31,Wifi,SIGS4
INT1,LSPD10_63_up,RSSI07_n39_n31,Wifi,SIGS4
INT1,LSPD10_63_up,RSSI06_n48_n39,Wifi,SIGS4
INT1,LSPD10_63_up,RSSI06_n48_n39,Wifi,SIGS4
INT1,LSPD01_below_2,RSSI10_n5_up,Mobile,SIGS2
INT1,LSPD01_below_2,RSSI10_n5_up,Mobile,SIGS2
INT1,LSPD01_below_2,RSSI10_n5_up,Mobile,SIGS2
INT1,LSPD01_below_2,RSSI10_n5_up,Mobile,SIGS2
INT1,LSPD01_below_2,RSSI10_n5_up,Mobile,SIGS2
INT1,LSPD01_below_2,RSSI10_n5_up,Mobile,SIGS2
INT1,LSPD01_below_2,RSSI10_n5_up,Mobile,SIGS2
INT1,LSPD01_below_2,RSSI10_n5_up,Mobile,SIGS2
INT1,LSPD01_below_2,RSSI10_n5_up,Mobile,SIGS2
INT1,LSPD01_below_2,RSSI10_n5_up,Mobile,SIGS2
INT1,LSPD01_below_2,RSSI10_n5_up,Mobile,SIGS2
INT1,LSPD01_below_2,RSSI10_n5_up,Mobile,SIGS2
INT1,LSPD01_below_2,RSSI10_n5_up,Mobile,SIGS2
INT1,LSPD01_below_2,RSSI10_n5_up,Mobile,SIGS2
INT1,LSPD01_below_2,RSSI10_n5_up,Mobile,SIGS2
INT1,LSPD01_below_2,RSSI10_n5_up,Mobile,SIGS2
INT1,LSPD01_below_2,RSSI10_n5_up,Mobile,SIGS2
INT1,LSPD01_below_2,RSSI10_n5_up,Mobile,SIGS2
INT1,LSPD01_below_2,RSSI10_n5_up,Mobile,SIGS2
INT1,LSPD01_below_2,RSSI10_n5_up,Mobile,SIGS2
INT1,LSPD01_below_2,RSSI10_n5_up,Mobile,SIGS2
INT1,LSPD01_below_2,RSSI10_n5_up,Mobile,SIGS2
INT1,LSPD01_below_2,RSSI10_n5_up,Mobile,SIGS2
INT1,LSPD01_below_2,RSSI10_n5_up,Mobile,SIGS2
INT1,LSPD01_below_2,RSSI10_n5_up,Mobile,SIGS2
INT1,LSPD01_below_2,RSSI10_n5_up,Mobile,SIGS2
INT1,LSPD01_below_2,RSSI10_n5_up,Mobile,SIGS2
INT1,LSPD01_below_2,RSSI10_n5_up,Mobile,SIGS2
INT1,LSPD01_below_2,RSSI10_n5_up,Mobile,SIGS2
INT1,LSPD01_below_2,RSSI10_n5_up,Mobile,SIGS2
INT1,LSPD01_below_2,RSSI10_n5_up,Mobile,SIGS2
INT1,LSPD01_below_2,RSSI10_n5_up,Mobile,SIGS2
INT1,LSPD01_below_2,RSSI10_n5_up,Mobile,SIGS2
INT1,LSPD01_below_2,RSSI10_n5_up,Mobile,SIGS2
INT1,LSPD01_below_2,RSSI10_n5_up,Mobile,SIGS2
INT1,LSPD01_below_2,RSSI10_n5_up,Mobile,SIGS2
INT1,LSPD01_below_2,RSSI10_n5_up,Mobile,SIGS2
INT1,LSPD01_below_2,RSSI10_n5_up,Mobile,SIGS3
INT1,LSPD01_below_2,RSSI10_n5_up,Mobile,SIGS2
INT1,LSPD01_below_2,RSSI10_n5_up,Mobile,SIGS2
INT1,LSPD01_below_2,RSSI10_n5_up,Mobile,SIGS2
INT1,LSPD01_below_2,RSSI10_n5_up,Mobile,SIGS2
INT1,LSPD01_below_2,RSSI10_n5_up,Mobile,SIGS2
INT1,LSPD01_below_2,RSSI10_n5_up,Mobile,SIGS2
INT1,LSPD01_below_2,RSSI10_n5_up,Mobile,SIGS2
INT1,LSPD01_below_2,RSSI10_n5_up,Mobile,SIGS2
INT1,LSPD01_below_2,RSSI10_n5_up,Mobile,SIGS2
INT1,LSPD01_below_2,RSSI10_n5_up,Mobile,SIGS2
INT1,LSPD01_below_2,RSSI10_n5_up,Mobile,SIGS2
INT1,LSPD01_below_2,RSSI10_n5_up,Mobile,SIGS2
INT1,LSPD01_below_2,RSSI10_n5_up,Mobile,SIGS2
INT1,LSPD01_below_2,RSSI10_n5_up,Mobile,SIGS2
INT1,LSPD01_below_2,RSSI10_n5_up,Mobile,SIGS2
INT1,LSPD01_below_2,RSSI10_n5_up,Mobile,SIGS2
INT1,LSPD01_below_2,RSSI10_n5_up,Mobile,SIGS2
INT1,LSPD01_below_2,RSSI10_n5_up,Mobile,SIGS2
INT1,LSPD01_below_2,RSSI10_n5_up,Mobile,SIGS2
INT1,LSPD01_below_2,RSSI10_n5_up,Mobile,SIGS2
INT1,LSPD01_below_2,RSSI10_n5_up,Mobile,SIGS2
INT1,LSPD01_below_2,RSSI10_n5_up,Mobile,SIGS2
INT1,LSPD01_below_2,RSSI10_n5_up,Mobile,SIGS2
INT1,LSPD01_below_2,RSSI10_n5_up,Mobile,SIGS2
INT1,LSPD01_below_2,RSSI10_n5_up,Mobile,SIGS2
INT1,LSPD01_below_2,RSSI10_n5_up,Mobile,SIGS2
INT1,LSPD01_below_2,RSSI10_n5_up,Mobile,SIGS2
INT1,LSPD01_below_2,RSSI10_n5_up,Mobile,SIGS2
INT1,LSPD01_below_2,RSSI10_n5_up,Mobile,SIGS2
INT1,LSPD01_below_2,RSSI10_n5_up,Mobile,SIGS2
INT1,LSPD01_below_2,RSSI10_n5_up,Mobile,SIGS2
INT1,LSPD01_below_2,RSSI10_n5_up,Mobile,SIGS2
